,,,,,,,,,,,,,,,,
6,Species in captivity,,,,,In Madagascar Park and Zoo and abroad/Studebook,,,,,,,,,,
,,Id species,taxonID,Darwin Core,,Identification number of each species,http://rs.tdwg.org/dwc/terms/index.htm#taxonID,O,,O,,O,,O,,X
,Zoo/ParK informations,Name,ownerInstitutionCode,Darwin Core,,Zoo/Park's name,http://rs.tdwg.org/dwc/terms/index.htm#ownerInstitutionCode,O,,O,,X,Data Title,O,,X
,,Locality,locality,Darwin Core,,Administrative territory: potential site,http://rs.tdwg.org/dwc/terms/index.htm#locality,O,,O,,X,Data Title,O,,_
,,Country,country,Darwin Core,,Zoo/Park,http://rs.tdwg.org/dwc/terms/index.htm#country,O,,O,,O,,O,,_
,,Contact,,,,Zoo/Park,,O,,O,,O,,O,,_
,,URL,url,GBIF,Web Links Extension,Zoo/Park,http://tools.gbif.org/dwca-validator/extension.do?id=http://rs.gbif.org/terms/1.0/Links,O,,O,,O,,O,,_
,,Purpose of breeding,,,,Research (genetic)/touristic...,,O,,O,,O,,O,,_
,,Approach mode,,,,Exportation/reintroduction…,,O,,O,,O,,O,,_
,,Results,,,,relationship between Madagascar and the foreign Park/Zoo,,O,,O,,O,,O,,_
,,,,,,,,,,,,,,,,
7,Project,,,,,Past and current on the conservation of lemurs and their habitats,,,,,,,,,,
,,Id species,taxonID,Darwin Core,,Identification number of each species,http://rs.tdwg.org/dwc/terms/index.htm#taxonID,O,,O,,O,,O,,X
,,Project title,,,,Project designation,,X,Project: Project Title,X,Study ,X,Data Title,O,,_
,,Institution,institutionCode,Darwin Core,,Institution/ONG/Researcher concerned contact,http://rs.tdwg.org/dwc/terms/index.htm#institutionCode,X,Partner and Contact,X,Organization,O,,O,,_
,,Contact,,,,Institution/ONG/Researcher concerned name,,X,Partner and Contact,O,,O,,O,,_
,,Donors,,,,Funders,,X,Project: Funding,X,Donors,O,,O,,_
,,Locality,locality,Darwin Core,,Administrative territory: potential site,http://rs.tdwg.org/dwc/terms/index.htm#locality,X,Project: Project Title,X,Site,X,Data Title,O,,_
,,District,county,Darwin Core,,District's name,http://rs.tdwg.org/dwc/terms/index.htm#county,O,,O,,O,,O,,_
,,Region,stateProvince,Darwin Core,,Region's name,http://rs.tdwg.org/dwc/terms/index.htm#stateProvince,O,,O,,O,,O,,_
,Study site,Id Region,,,,Identification number of each region,,O,,O,,O,,O,,X
,,Id District,,,,Identification number of each district,,O,,O,,O,,O,,X
,,Id Commune,,,,Identification number of each commune,,O,,O,,O,,O,,X
,,Type of site,,,,Protected Area/Reserve/Forest domain/Zoo/Private Park,,X,Project: Project Title,X,Site Category,X,,O,,_
,,URL,url,GBIF,Web Links Extension,Website,http://tools.gbif.org/dwca-validator/extension.do?id=http://rs.gbif.org/terms/1.0/Links,O,,O,,O,,O,,_
,,Project objective,,,,Relatives with lemurs and their habitat,,X,"Project: 1,2,3,4,5,6 Objective",O,,X,,O,,_
,,Project activities,,,,"Action plans, Management plans, phases",,X,"Project: Activities 1,2,3,4,5",O,,X,,O,,_
,,Project achievement,,,,Results,,X,Project: Achievements,O,,X,,O,,_
,,Project documents,,,,Report/abstract,,X,Support,O,,X,,O,,_
,,,,,,,,,,,,,,,,
8,Education_Economic impact,,,,,All sorts of material productions/traditional/visit of park and zoo,,,,,,,,,,
,,,,,,Use of funds that are collected from the visit of parks and zoo,,,,,,,,,,
,,Id species,taxonID,Darwin Core,,Identification number of each species,http://rs.tdwg.org/dwc/terms/index.htm#taxonID,O,,O,,O,,O,,X
,Use of funds,Education for academic purposes,,,,"Pratical environmental education for lemur conservation: primary, college, highschool/University (target: students)",,O,,O,,X,Data Title,O,,_
,,Public education for economic purposes,,,,Direct impact on the local population,,O,,O,,X,Data Title,O,,_
,,Achievements,,,,Socio-economic impacts of investment in communities,,O,,O,,X,Data Title,O,,_
,,Institution,institutionCode,Darwin Core,,Institution/ONG/Researcher concerned contact,http://rs.tdwg.org/dwc/terms/index.htm#institutionCode,O,,O,,O,,O,,_
,,Locality,locality,Darwin Core,,Administrative territory: potential site,http://rs.tdwg.org/dwc/terms/index.htm#locality,O,,O,,X,Data Title,O,,_
,,Id Region,,,,Identification number of each region,,O,,O,,O,,O,,X
,,Id District,,,,Identification number of each district,,O,,O,,O,,O,,X
,,Id Commune,,,,Identification number of each commune,,O,,O,,O,,O,,X
,,Traditional practise,,,,"Practices developed by communities based on the protection of the environment and species of lemurs (customs ...), cultural or tourist Valuation",,O,,O,,X,Data Title,O,,_
,,Download document,,,,Website (link) where we can get education and economic impact informations,,X,Support,O,,O,,O,,_
,,,,,,,,,,,,,,,,
9,Research permit,,,,,Informations related databases MEF,,,,,,,,,,
,,Caller,,,,Researcher/Institution/ONG name,,O,,O,,O,,X,Name and surname,O
,,Date of request,,,,Permit,,O,,O,,O,,O,Date,O
,,Date of issue,,,,Permit,,O,,O,,O,,O,Date,O
,,Title of permit,,,,Title of the research,,O,,O,,O,,X,Subject / Theme,O
,,Species concerned (lemurs),scientificName,,,Scientific Name,,O,,O,,O,,X,Subject / Theme,O
,,Results,,,,Report/abstract,,O,,O,,O,,O,,O
,,Contact applicant,,,,Researcher/Institution/ONG contact,,O,,O,,O,,O,,O
,,,,,,,,,,,,,,,,
10,Media,,,,,Materials relating to each species,,,,,,,,,,
,,Id species,taxonID,Darwin Core,,Identification number of each species,http://rs.tdwg.org/dwc/terms/index.htm#taxonID,,,,,,,O,,
,,Photos,identifier,Dublin Core,Simple Images Extension (http://tools.gbif.org/dwca-validator/extension.do?id=http://rs.gbif.org/terms/1.0/Image),Lemur's photos: URL/website,http://purl.org/dc/terms/identifier,O,,X,Photo,O,,O,,
,,Video,identifier,Dublin Core,Simple Images Extension (http://tools.gbif.org/dwca-validator/extension.do?id=http://rs.gbif.org/terms/1.0/Image),Lemur's video: URL/website,http://purl.org/dc/terms/identifier,O,,O,,O,,O,,
,,Audio,identifier,Dublin Core,Simple Images Extension (http://tools.gbif.org/dwca-validator/extension.do?id=http://rs.gbif.org/terms/1.0/Image),Lemur's audio: URL/website,http://purl.org/dc/terms/identifier,O,,O,,O,,O,,
,,,,,,,,,,,,,,,,
11,References,,,,,Relating to some categories: Taxonomy/Research/Researcher/Education by Arsie...,,,,,,,,,,
,,Download document,,,,Website (link) where we can get lemur's informations with all kinds of format,,O,,X,Online,X,ARSIE site,O,,_
,,URL,url,GBIF,Web Links Extension,According to lemur's information,http://tools.gbif.org/dwca-validator/extension.do?id=http://rs.gbif.org/terms/1.0/Links,O,,O,,O,,O,,_
,,,,,,,,,,,,,,,,
12,Links,,,,,"Eol, Rebioma, Archive… pages",,,,,,,,,,
,,Id species,taxonID,Darwin Core,,Identification number of each species,http://rs.tdwg.org/dwc/terms/index.htm#taxonID,O,,O,,O,,O,,X
,,Id sites,url,GBIF,Web Links Extension,Identification number of each sites,http://tools.gbif.org/dwca-validator/extension.do?id=http://rs.gbif.org/terms/1.0/Links,O,,O,,O,,O,,X
