Scientific name,id,id_intl,Author,Phyllum,Embranchement,Sous-Embranchement,Classe,Sous-Classe,Infra-classe,Order,Sous-Ordre,Infra-Ordre,Super-Famille,Family,Sub family,Genus,Species,Sub species,English name,French name,Malagasy name,Comoros name
Allocebus trichotis,22,,"Günther, 1875",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Allocebus, trichotis,,Hairy-eared mouse lemur,Cheirogale à oreilles poilues,Tsidiala
Allocebus trichotis,22,,"Günther, 1875",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Allocebus, trichotis,,,Cheirogale à oreilles velues,Antsidy mavo
Cheirogaleus medius,23,,"E. Geoffroy, 1812",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus, medius,,Fat-tailed dwarf lemur,Petit cheirogale,Tsidihy
Cheirogaleus medius,23,,"E. Geoffroy, 1812",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus, medius,,Lesser dwarf lemur,Cheirogale moyen,Kelybehohy
Cheirogaleus medius,23,,"E. Geoffroy, 1812",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus, medius,,Western fat-tailed dwarf lemur,Cheirogale à gros queue,Matavyrambo
Cheirogaleus medius,23,,"E. Geoffroy, 1812",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus, medius,,Spiny forest dwarf lemur,Cheirogale à queue grasse,Bodonohy (near Taolgnaro)
Cheirogaleus sibreei,24,,"(Forsyth Major, 1896)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus, sibreei,,Sibree's dwarf lemur,Cheirogale de Sibree,Tsitsihy
Cheirogaleus major,25,,"E. Geoffroy, 1812",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus,major,,Greater dwarf lemur,Grand cheirogale,Tsitsihy
Cheirogaleus major,25,,"E. Geoffroy, 1812",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus,major,,Geoffroy's dwarf lemur,,Tsidy
Cheirogaleus major,25,,"E. Geoffroy, 1812",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus,major,,,,Hataka
Cheirogaleus major,25,,"E. Geoffroy, 1812",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus,major,,,,Kelybehohy (southeast)
Cheirogaleus crossleyi,26,,"A. Grandidier, 1870",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus, crossleyi,,Crossley's dwarf lemur,Cheirogale de Crossley,Matavirambo
Cheirogaleus crossleyi,26,,"A. Grandidier, 1870",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus, crossleyi,,Furry-eared dwarf lemur,,Tsitsihy (northeast)
Cheirogaleus minusculus,27,,"Groves, 2000",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus,minusculus,,Lesser iron-gray dwarf lemur,Grand cheirogale gris-acier,Tsitsiha
Cheirogaleus minusculus,27,,"Groves, 2000",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Cheirogaleus,minusculus,,Large iron-gray dwarf lemur,,
