"scientificName","acceptedNameUsage","kingdom","phylum","subphylum","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","nomenclaturalCode","reviewed","reviewedBy","reviewDate","accepted","whyNotAccepted"
"Lepilemur ruficaudatus","Lepilemur ruficaudatus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"ruficaudatus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur sahamalazensis","Lepilemur sahamalazensis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"sahamalazensis",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur scottorum","Lepilemur scottorum","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"scottorum",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur seali","Lepilemur seali","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"seali",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur septentrionalis","Lepilemur septentrionalis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"septentrionalis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur tymerlachsonorum","Lepilemur tymerlachsonorum","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"tymerlachsonorum",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur wrightae","Lepilemur wrightae","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"wrightae",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Microcebus arnholdi","Microcebus arnholdi","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"CHEIROGALEIDAE",,"Microcebus",,"arnholdi",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Microcebus berthae","Microcebus berthae","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"berthae",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Microcebus bongolavensis","Microcebus bongolavensis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"CHEIROGALEIDAE",,"Microcebus",,"bongolavensis",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Microcebus danfossi","Microcebus danfossi","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"CHEIROGALEIDAE",,"Microcebus",,"danfossi",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Microcebus gerpi","Microcebus gerpi","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"gerpi",,,"ICZN",-1,,"2012-02-07",-1,
"Microcebus griseorufus","Microcebus griseorufus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"griseorufus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Microcebus jollyae","Microcebus jollyae","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"CHEIROGALEIDAE",,"Microcebus",,"jollyae",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Microcebus lehilahytsara","Microcebus lehilahytsara","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"lehilahytsara",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Microcebus macarthurii","Microcebus macarthurii","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"CHEIROGALEIDAE",,"Microcebus",,"macarthurii",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Microcebus mamiratra","Microcebus mamiratra","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Microcebus",,"mamiratra",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
